국가코드,국가풀네임,선사코드,체류시간_totalTime(시간),컬러맵
IT,ITALY,MSC,320016,0.21739130434782608
KR,REPUBLIC OF KOREA,MAE,80831,0.0
JP,JAPAN,ONE,58754,0.043478260869565216
DE,GERMANY,HLC,50883,0.08695652173913043
CN,CHINA,COH,28238,0.9130434782608695
IL,ISRAEL,ZIM,24969,0.8695652173913043
HK,HONG KONG,SKR,23174,0.13043478260869565
KR,REPUBLIC OF KOREA,COS,20748,0.0
HK,HONG KONG,OOL,9152,0.13043478260869565
KR,REPUBLIC OF KOREA,HMM,8835,0.0
KR,REPUBLIC OF KOREA,HAS,7780,0.0
KR,REPUBLIC OF KOREA,DWS,5813,0.0
TW,TAIWAN,YML,3128,0.17391304347826086
TH,THAILAND,RCL,2991,0.8260869565217391
기타1,기타1,KFC,2388,0.7826086956521738
FR,FRANCE,CMA,2218,0.7391304347826086
RU,RUSSIAN FEDERATION,FES,2181,0.6086956521739131
기타2,기타2,BLA,2087,0.6956521739130435
기타3,기타3,ILN,1869,0.6521739130434783
기타4,기타4,NGS,1751,0.2608695652173913
PL,POLAND,KMD,1127,0.5652173913043478
TW,TAIWAN,EMC,984,0.17391304347826086
기타5,기타5,SPW,885,0.5217391304347826
AE,UNITED ARAB EMIRATES,HAD,634,0.4782608695652174
KR,REPUBLIC OF KOREA,DJS,408,0.0
US,UNITED STATES,APL,387,0.43478260869565216
KR,REPUBLIC OF KOREA,SML,300,0.0
AU,AUSTRALIA,ANL,260,0.3913043478260869
JP,JAPAN,MOL,121,0.043478260869565216
DK,DENMARK,MCC,104,0.34782608695652173
기타6,기타6,RSH,89,0.30434782608695654
DE,GERMANY,HSD,68,0.08695652173913043
KR,REPUBLIC OF KOREA,CKL,57,0.0
ID,INDIA,SJL,30,1.0
KR,REPUBLIC OF KOREA,NSL,5,0.0
