년,월,구분,체류외국인 수
2022,01,단기체류,379993
2022,01,장기체류 거소,477116
2022,01,장기체류 등록,1090550
2022,02,단기체류,397141
2022,02,장기체류 거소,478963
2022,02,장기체류 등록,1086490
2022,03,단기체류,396359
2022,03,장기체류 거소,480123
2022,03,장기체류 등록,1089794
2022,04,단기체류,406553
2022,04,장기체류 거소,481270
2022,04,장기체류 등록,1099427
2022,05,단기체류,424491
2022,05,장기체류 거소,483167
2022,05,장기체류 등록,1105204
2022,06,단기체류,460334
2022,06,장기체류 거소,486007
2022,06,장기체류 등록,1109700
2022,07,단기체류,476352
2022,07,장기체류 거소,488603
2022,07,장기체류 등록,1116395
2022,08,단기체류,507339
2022,08,장기체류 거소,491361
2022,08,장기체류 등록,1124652
2022,09,단기체류,535643
2022,09,장기체류 거소,492939
2022,09,장기체류 등록,1143696
2022,10,단기체류,545560
2022,10,장기체류 거소,495541
2022,10,장기체류 등록,1158359
2022,11,단기체류,515306
2022,11,장기체류 거소,498842
2022,11,장기체류 등록,1180632
2022,12,단기체류,557057
2022,12,장기체류 거소,499270
2022,12,장기체류 등록,1189585
2023,01,단기체류,451703
2023,01,장기체류 거소,499625
2023,01,장기체류 등록,1195251
2023,02,단기체류,463560
2023,02,장기체류 거소,500405
2023,02,장기체류 등록,1198393
2023,03,단기체류,610787
2023,03,장기체류 거소,503124
2023,03,장기체류 등록,1221685
2023,04,단기체류,610272
2023,04,장기체류 거소,506195
2023,04,장기체류 등록,1237616
2023,05,단기체류,598763
2023,05,장기체류 거소,510523
2023,05,장기체류 등록,1255608
2023,06,단기체류,625755
2023,06,장기체류 거소,515129
2023,06,장기체류 등록,1270393
2023,07,단기체류,652095
2023,07,장기체류 거소,518838
2023,07,장기체류 등록,1282639
2023,08,단기체류,620389
2023,08,장기체류 거소,521449
2023,08,장기체류 등록,1291480
2023,09,단기체류,675507
2023,09,장기체류 거소,523860
2023,09,장기체류 등록,1314792
2023,10,단기체류,637393
2023,10,장기체류 거소,527152
2023,10,장기체류 등록,1331547
2023,11,단기체류,446273
2023,11,장기체류 거소,530707
2023,11,장기체류 등록,1343396
2023,12,단기체류,625663
2023,12,장기체류 거소,533295
2023,12,장기체류 등록,1348626
