년,월,자격별,전문인력수
2022,01,단기취업C4,1779
2022,01,교수E1,2001
2022,01,회화지도E2,13344
2022,01,연구E3,3567
2022,01,기술지도E4,174
2022,01,전문직업E5,261
2022,01,예술흥행E6,3360
2022,01,특정활동E7,20867
2022,02,단기취업C4,2224
2022,02,교수E1,2072
2022,02,회화지도E2,14580
2022,02,연구E3,3640
2022,02,기술지도E4,177
2022,02,전문직업E5,254
2022,02,예술흥행E6,3380
2022,02,특정활동E7,21071
2022,03,단기취업C4,2304
2022,03,교수E1,2068
2022,03,회화지도E2,13773
2022,03,연구E3,3693
2022,03,기술지도E4,181
2022,03,전문직업E5,246
2022,03,예술흥행E6,3433
2022,03,특정활동E7,21478
2022,04,단기취업C4,2442
2022,04,교수E1,2072
2022,04,회화지도E2,13788
2022,04,연구E3,3684
2022,04,기술지도E4,192
2022,04,전문직업E5,240
2022,04,예술흥행E6,3487
2022,04,특정활동E7,22096
2022,05,단기취업C4,2374
2022,05,교수E1,2070
2022,05,회화지도E2,13939
2022,05,연구E3,3724
2022,05,기술지도E4,197
2022,05,전문직업E5,235
2022,05,예술흥행E6,3484
2022,05,특정활동E7,22313
2022,06,단기취업C4,2751
2022,06,교수E1,2061
2022,06,회화지도E2,13901
2022,06,연구E3,3719
2022,06,기술지도E4,199
2022,06,전문직업E5,227
2022,06,예술흥행E6,3525
2022,06,특정활동E7,22255
2022,07,단기취업C4,2828
2022,07,교수E1,2059
2022,07,회화지도E2,13958
2022,07,연구E3,3740
2022,07,기술지도E4,199
2022,07,전문직업E5,219
2022,07,예술흥행E6,3631
2022,07,특정활동E7,22939
2022,08,단기취업C4,3456
2022,08,교수E1,2067
2022,08,회화지도E2,14576
2022,08,연구E3,3907
2022,08,기술지도E4,208
2022,08,전문직업E5,232
2022,08,예술흥행E6,3738
2022,08,특정활동E7,23263
2022,09,단기취업C4,3761
2022,09,교수E1,2055
2022,09,회화지도E2,14360
2022,09,연구E3,4055
2022,09,기술지도E4,212
2022,09,전문직업E5,225
2022,09,예술흥행E6,3782
2022,09,특정활동E7,23465
2022,10,단기취업C4,3744
2022,10,교수E1,2049
2022,10,회화지도E2,14320
2022,10,연구E3,4073
2022,10,기술지도E4,209
2022,10,전문직업E5,241
2022,10,예술흥행E6,3910
2022,10,특정활동E7,23800
2022,11,단기취업C4,3146
2022,11,교수E1,2030
2022,11,회화지도E2,14384
2022,11,연구E3,4059
2022,11,기술지도E4,215
2022,11,전문직업E5,243
2022,11,예술흥행E6,3978
2022,11,특정활동E7,23934
2022,12,단기취업C4,1985
2022,12,교수E1,2012
2022,12,회화지도E2,14251
2022,12,연구E3,4009
2022,12,기술지도E4,214
2022,12,전문직업E5,238
2022,12,예술흥행E6,3989
2022,12,특정활동E7,24083
2023,01,단기취업C4,1889
2023,01,교수E1,1982
2023,01,회화지도E2,14053
2023,01,연구E3,3846
2023,01,기술지도E4,212
2023,01,전문직업E5,236
2023,01,예술흥행E6,3883
2023,01,특정활동E7,24473
2023,02,단기취업C4,2150
2023,02,교수E1,2004
2023,02,회화지도E2,14274
2023,02,연구E3,3933
2023,02,기술지도E4,210
2023,02,전문직업E5,237
2023,02,예술흥행E6,4014
2023,02,특정활동E7,25622
2023,03,단기취업C4,2633
2023,03,교수E1,2003
2023,03,회화지도E2,14069
2023,03,연구E3,3997
2023,03,기술지도E4,212
2023,03,전문직업E5,238
2023,03,예술흥행E6,4162
2023,03,특정활동E7,27106
2023,04,단기취업C4,3414
2023,04,교수E1,2001
2023,04,회화지도E2,13943
2023,04,연구E3,3900
2023,04,기술지도E4,213
2023,04,전문직업E5,232
2023,04,예술흥행E6,4233
2023,04,특정활동E7,28681
2023,05,단기취업C4,3821
2023,05,교수E1,1999
2023,05,회화지도E2,13968
2023,05,연구E3,3907
2023,05,기술지도E4,213
2023,05,전문직업E5,231
2023,05,예술흥행E6,4361
2023,05,특정활동E7,29322
2023,06,단기취업C4,3771
2023,06,교수E1,1970
2023,06,회화지도E2,13873
2023,06,연구E3,3864
2023,06,기술지도E4,208
2023,06,전문직업E5,229
2023,06,예술흥행E6,4318
2023,06,특정활동E7,29816
2023,07,단기취업C4,2864
2023,07,교수E1,1951
2023,07,회화지도E2,13863
2023,07,연구E3,3818
2023,07,기술지도E4,204
2023,07,전문직업E5,228
2023,07,예술흥행E6,4372
2023,07,특정활동E7,31051
2023,08,단기취업C4,3636
2023,08,교수E1,1990
2023,08,회화지도E2,14437
2023,08,연구E3,3889
2023,08,기술지도E4,207
2023,08,전문직업E5,224
2023,08,예술흥행E6,4567
2023,08,특정활동E7,34900
2023,09,단기취업C4,3746
2023,09,교수E1,1976
2023,09,회화지도E2,14121
2023,09,연구E3,4051
2023,09,기술지도E4,205
2023,09,전문직업E5,225
2023,09,예술흥행E6,4659
2023,09,특정활동E7,35717
2023,10,단기취업C4,4213
2023,10,교수E1,1931
2023,10,회화지도E2,14058
2023,10,연구E3,4001
2023,10,기술지도E4,204
2023,10,전문직업E5,226
2023,10,예술흥행E6,4714
2023,10,특정활동E7,38008
2023,11,단기취업C4,2266
2023,11,교수E1,1911
2023,11,회화지도E2,13973
2023,11,연구E3,3937
2023,11,기술지도E4,207
2023,11,전문직업E5,224
2023,11,예술흥행E6,4653
2023,11,특정활동E7,40934
2023,12,단기취업C4,2196
2023,12,교수E1,1897
2023,12,회화지도E2,14005
2023,12,연구E3,3916
2023,12,기술지도E4,205
2023,12,전문직업E5,223
2023,12,예술흥행E6,4711
2023,12,특정활동E7,44993
