대륙,국적,성별,인천공항,김해공항,김포공항,부  산,울  산,여  수,대  구,제  주,광  양,인  천,평  택,감  천,평택항,무안공항,양양공항,창  원,동  해,서  산,군  산,당  진,포  항,거  제,통  영,목  포,성  남,청  주,제주항,사  천,속  초
아시아주,일본,남성,73182,13767,28702,530,82,66,357,732,3,31,13,31,22,1,37,5,4,0,2,3,0,0,10,13,12,0,0,0,0
아시아주,일본,여성,135147,15452,24936,589,0,0,510,532,0,0,31,0,0,7,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0
아시아주,중국,남성,82465,3890,686,14190,4523,7432,50,1489,6200,3368,0,1450,3588,0,1,2012,1721,544,3075,2858,350,94,23,98,153,0,2,205,9
아시아주,중국,여성,79739,2537,795,4,0,0,55,1729,0,0,2,0,0,0,2,1,3,0,0,0,0,0,0,0,18,5,0,,
아시아주,베트남,남성,88295,15463,14,1138,1163,589,74,153,674,613,0,515,872,154,1002,545,390,55,754,464,162,7,73,54,127,0,1,0,0
아시아주,베트남,여성,95933,13399,39,1,0,0,67,252,0,0,1,0,0,2,1796,0,0,0,0,0,0,0,0,0,34,0,0,0,0
아시아주,필리핀,남성,48099,3483,72,34829,14067,16849,4,224,11573,6601,23,3434,5309,0,724,3851,1382,1127,2478,1635,891,898,314,1158,11,0,24,180,
아시아주,필리핀,여성,37691,1348,51,24,3,14,16,430,2,1,11,2,2,0,1264,2,5,1,0,0,0,2,0,0,0,0,1,1,
아시아주,타이,남성,56005,1937,62,77,64,34,279,3346,71,78,30,26,33,1,0,36,38,1,45,12,2,0,1,0,0,1,0,0,0
아시아주,타이,여성,83597,3884,85,2,0,0,667,7278,0,1,2,0,0,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
아시아주,싱가포르,남성,65617,819,243,46,20,6,1,4638,0,2,0,4,3,0,0,9,1,0,0,0,0,2,3,0,1,0,0,0,0
아시아주,싱가포르,여성,78927,923,179,2,1,1,0,5702,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,인도네시아,남성,36000,785,100,7190,3504,2445,0,156,2529,970,0,7036,648,1,0,809,469,912,592,861,387,176,541,456,108,0,3,88,
아시아주,인도네시아,여성,25150,165,75,2,0,3,0,237,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
아시아주,타이완,남성,22314,1354,1266,478,330,13,7,667,188,17,1,52,4,0,32,6,0,0,4,0,4,64,0,0,0,0,0,0,0
아시아주,타이완,여성,37961,2332,2547,4,0,0,8,1079,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,말레이시아,남성,30763,361,167,164,139,70,11,962,49,21,0,8,7,0,1,0,1,14,0,0,0,33,6,0,0,0,0,0,0
아시아주,말레이시아,여성,32398,401,81,1,0,0,0,1144,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
아시아주,인도,남성,31347,441,128,7757,4120,6505,10,132,1462,1186,0,213,664,0,0,222,172,495,501,244,208,363,59,143,2,0,24,11,58
아시아주,인도,여성,7634,68,26,8,6,8,1,82,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,미얀마,남성,14126,399,4,16049,6971,3095,0,8,6040,1472,0,2002,1982,0,0,1031,925,686,871,945,685,85,119,445,0,0,1,106,0
아시아주,미얀마,여성,1465,31,2,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,홍콩,남성,17046,134,226,5,1,3,2,353,0,7,0,0,2,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0
아시아주,홍콩,여성,35457,154,246,0,0,0,1,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,몽골,남성,20988,1789,13,0,0,0,18,237,0,0,0,0,0,6,52,2,1,0,0,0,0,0,0,0,0,7,0,0,0
아시아주,몽골,여성,26354,2242,13,0,0,0,33,375,0,0,1,0,0,5,74,0,0,0,0,0,0,0,0,0,0,2,0,0,0
아시아주,우즈베키스탄,남성,22341,56,10,0,0,0,1,1,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
