항구별,입항선박수,입항선원수,출항선박수,출항선원수
부 산 항,19072,394514,18895,372020
인 천 항,7241,147921,7268,143454
여 수 항,9792,200879,9810,185205
울 산 항,10140,192105,10210,185850
감 천 항,2435,48351,2657,50336
평 택 항,3880,85798,3880,83454
포 항 항,2339,37167,2339,35768
광 양 항,6326,120417,6328,116532
목 포 항,894,16358,940,16786
통 영 항,1026,11734,1007,10914
사 천 항,160,3302,155,2985
거 제 항,501,9321,556,10025
군 산 항,2038,39025,2035,37481
동 해 항,1231,25606,1174,23355
속 초 항,99,1940,100,1960
창 원 항,1968,34139,1983,32836
서 산 항,3439,66852,3428,63878
제 주 항,88,1182,85,1157
당 진 항,1363,22963,1368,21700
제주서귀포항,3,0,0,0
