대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타
아시아주,한국계중국인,남성,0,0,0,19,0,2189,0,0,226,133,17,0,1,6,21,0,2,1,0,0,0,0,0,7,0,308,1,5527,5658,17,186987,59488,7051,129,0,51936,0,821
아시아주,한국계중국인,여성,0,0,0,17,1,1648,0,2,320,76,19,0,0,1,10,1,2,1,0,1,0,0,0,2,0,225,0,6883,6378,22,171121,48432,9818,48,0,37109,0,225
아시아주,중국,남성,210,118,0,9327,0,28804,583,3,20878,350,2619,13,11,187,1073,357,857,83,36,222,0,0,83,4798,15,1351,1692,10637,5753,385,0,12339,4659,2097,0,0,98,697
아시아주,중국,여성,221,63,0,4727,0,17635,26,5,32346,137,3689,11,27,58,312,23,1501,65,335,108,0,0,59,2364,18,170,0,16758,9959,866,0,23280,19559,1349,0,0,68,823
아시아주,베트남,남성,99,30,47,645,1,19260,156,0,13599,196,22336,1,42,15,81,41,1798,26,0,272,0,0,16,3824,1098,29135,9189,12365,1523,701,0,601,3993,669,0,0,1,1447
아시아주,베트남,여성,110,41,25,313,0,9684,72,1,18512,99,16906,0,134,0,24,46,2472,13,6,115,0,0,5,503,784,2472,0,20083,1813,1628,1,1606,33284,321,0,0,0,727
아시아주,타이,남성,20,38,71474,40,0,170,14,1,149,19,44,0,13,2,72,11,7,5,0,14,1,2,14,450,21,20042,0,178,54,46,1,17,126,101,0,0,0,137
아시아주,타이,여성,35,25,93379,42,0,857,6,1,436,2,402,0,1,2,49,6,19,3,0,10,0,0,30,163,16,3968,0,620,136,124,7,595,6787,490,0,0,1,186
아시아주,우즈베키스탄,남성,30,16,1,141,0,2650,1,0,8265,82,1926,0,0,4,76,42,705,7,0,10,0,0,28,588,271,11753,0,3746,620,434,12580,821,196,745,0,5408,0,454
아시아주,우즈베키스탄,여성,25,18,1,13,0,430,1,1,1260,2,140,0,0,0,6,4,146,5,0,1,0,0,8,30,24,157,0,4103,553,805,12172,1297,1750,76,0,4423,0,85
