구분,업체명,주소(임대면적),주생산품,투자국,입주허가일
마산,한국소니전자㈜,"경상남도 창원시 마산회원구 자유무역2길 76 (24,905㎡)",방송용 유무선 송수신기,네덜란드,1972-08-24
마산,한국중천전화산업㈜,"경상남도 창원시 마산회원구 자유무역2길 26 (7,348㎡)",Timer Switch Motor,일본,1972-11-01
마산,티와이모듈코리아㈜,"경상남도 창원시 마산회원구 자유무역3길 43 (13,868㎡)",inductor condensor LCD용 인버터,한국,2019-01-28
마산,한국성전㈜,"경상남도 창원시 마산회원구 자유무역3길 150 (5,289㎡)",휴대폰 키패드,일본,1972-12-21
마산,㈜아로텍,"경상남도 창원시 마산회원구 자유무역3길 146 (6,643㎡)",LCD용 인버터 보드,한국,1972-12-21
마산,한일차단기㈜,"경상남도 창원시 마산회원구 자유무역3길 40 (6,982㎡)",전력용 차단기,한국,1993-08-02
마산,㈜엔지피,"경상남도 창원시 마산회원구 자유무역3길 118 (4,719㎡)","태양광 발전장치,LED조명 등",미국,1996-11-28
마산,엠에스이㈜,"경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (6,225㎡)",PCB Assembly,한국,2007-03-28
마산,㈜테크노전자,"경상남도 창원시 마산회원구 봉암공단13길 23-23 표준공장 8호동 (3,119㎡)",전기회로개폐 보호 및 접속장치,한국,2007-11-01
마산,인피니텍㈜,경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (907.08㎡),전원용IC,일본,2009-03-19
마산,화성G&I㈜,"경상남도 창원시 마산회원구 자유무역5길 7 (2,992㎡)",엘리베이터 부품,호주,2009-11-23
마산,㈜에스피시스템스,"경상남도 창원시 마산회원구 자유무역6길 261 (3,973㎡)",램프 부품,한국,2009-08-11
마산,그린산업㈜,"경상남도 창원시 마산회원구 자유무역4길 49 (7,397㎡)",에어컨 부품 및 히터부품,한국,2010-01-19
마산,㈜우레아텍,경상남도 창원시 마산회원구 자유무역3길 108 (823.37㎡),폴리우레탄 전용발포설비,한국,2010-08-10
마산,㈜웰템,"경상남도 창원시 마산회원구 자유무역3길 154 (9,921㎡)","이동식에어컨,난방기",한국,2010-10-19
마산,에이트론㈜,"경상남도 창원시 마산회원구 봉암공단13길 23-23 표준공장 8호동 (2,010㎡)",위성방송용 송수신기,한국,2010-11-23
마산,㈜와이에스씨,"경상남도 창원시 마산회원구 봉암공단13길 23-23 표준공장 8호동 (2,010㎡)",반도체 표면실장용 carrier tape,미국,2010-12-16
마산,일신실업㈜,"경상남도 창원시 마산회원구 자유무역3길 178 (4,061㎡)","에어컨 실내기,실외기 부품,연결배관",한국,2011-07-13
마산,㈜대호아이앤티,"경상남도 창원시 마산회원구 자유무역3길 211 표준공장 3호동 (3,650㎡)",시스템 에어컨용 네트워크 솔루션 및 전자기기,한국,2013-04-16
마산,㈜에스디이앤티,"경상남도 창원시 마산회원구 자유무역5길 2 (20,394㎡)",냉동/공조용 부품,한국,2013-05-16
마산,㈜코리아마그네슘,"경상남도 창원시 마산회원구 자유무역2길 166 (3,183㎡)",핸드폰 주조부품 및 골프 주조부품,홍콩,2013-06-26
마산,㈜원텍이엔지,경상남도 창원시 마산회원구 자유무역2길 218 (638㎡),절연용 TAPE,일본,2015-02-23
마산,㈜파라콤,"경상남도 창원시 마산회원구 자유무역3길 180 표준공장 7호동 (3,617㎡)","PCB Assembly, Wire Harness",싱가포르,2019-12-24
마산,해성전자㈜,"경상남도 창원시 마산회원구 자유무역3길 180 표준공장 7호동 (2,411㎡)",Wire Harness,한국,2019-12-31
마산,범한퓨얼셀㈜,"경상남도 창원시 마산회원구 자유무역4길 61 (7,132㎡)","수소연료발전지, 수소충전소",한국,2020-03-31
마산,(주)이플로우,"경상남도 창원시 마산회원구 자유무역3길 200 표준공장 6호동 (14,385㎡)",마이크로 모빌리티용 모터구동 드라이버모듈,한국,2020-07-03
마산,신성델타테크㈜,"경상남도 창원시 마산회원구 자유무역3길 200 표준공장 6호동 (16,825㎡)","청소기 관련부품, 휴대용 미니 공기청정기 등",일본,2021-02-17
마산,㈜여명라이팅,"경상남도 창원시 마산회원구 자유무역3길 184 표준공장 5호동 (1,282㎡)",LED 조명,한국,2021-03-16
마산,진영전기㈜,"경상남도 창원시 마산회원구 자유무역3길 184 표준공장 5호동 (10,255㎡)",자동차 전장용 RELAY 및 SWITCH,일본,2021-11-16
마산,㈜비콘아이앤씨,"경상남도 창원시 마산회원구 자유무역3길 177 표준공장 1호동 (4,169㎡)","LCD, LED 모듈",한국,2021-11-18
마산,대한중천산업㈜,"경상남도 창원시 마산회원구 자유무역4길 30 (9,541㎡)","각종 밸브류, 센서, 스위치류 등",일본,2022-06-08
마산,대동정밀㈜,"경상남도 창원시 마산회원구 자유무역6길 31 (13,699㎡)",Washer 자동차엔진부품 및 기타부품,한국,1971-05-05
마산,㈜삼양옵틱스,"경상남도 창원시 마산회원구 자유무역6길 123 (12,264㎡)","카메라렌즈,CCTV렌즈",한국,1972-07-22
마산,한국TSK㈜,"경상남도 창원시 마산회원구 자유무역3길 89 (11,172㎡)",차량용 control cable,일본,1972-08-31
마산,새한합작㈜,"경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (1,067㎡)",재활의료기기,한국,1974-02-22
마산,㈜이우,"경상남도 창원시 마산회원구 자유무역3길 177 표준공장 1호동 (2,097㎡)",자동차 부품,한국,1991-08-05
마산,태진밸브공업㈜,"경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (2,432㎡)",선박용 고압정밀 밸브,한국,1992-04-10
마산,㈜유니스타,"경상남도 창원시 마산회원구 봉암공단13길 23-23 표준공장 8호동 (1,109㎡)","전기자전거,악취제거 탈취제",미국,2001-01-31
